Vorname,Nachname,Email,Produktname,Preis,Datum,Menge
Sibylla,Vogt,sibylla.vogt@gmx.de,Seife,0.69,20.04.2021,6
Hubertus,Süßebier,hubertus.süßebier@aol.de,Seife,0.69,28.03.2021,10
Ernestine,Salz,ernestine.salz@gmail.com,Duschgel,1.09,06.04.2021,1
Sibylla,Vogt,sibylla.vogt@gmx.de,Desinfektionsmittel,5.24,19.02.2021,1
Gernot,Koch II,gernot.kochii@hotmail.de,Seife,0.69,17.02.2021,2
Hubertus,Süßebier,hubertus.süßebier@aol.de,Desinfektionsmittel,5.24,06.02.2021,1
Riza,Hettner,riza.hettner@gmx.de,Desinfektionsmittel,5.24,19.04.2021,1
Ilonka,Tintzmann,ilonka.tintzmann@web.de,Duschgel,1.09,02.04.2021,4
Ernestine,Salz,ernestine.salz@gmail.com,Desinfektionsmittel,5.24,14.04.2021,2
Hubertus,Süßebier,hubertus.süßebier@aol.de,Seife,0.69,12.03.2021,3
Gernot,Koch II,gernot.kochii@hotmail.de,Duschgel,1.09,19.03.2021,3
Hubertus,Süßebier,hubertus.süßebier@aol.de,Duschgel,1.09,20.04.2021,1
Volkhard,Aumann,volkhard.aumann@gmail.com,Seife,0.69,29.04.2021,3
Catrin,Faust,catrin.faust@yahoo.de,Desinfektionsmittel,5.24,07.05.2021,6
Jann,Stiffel,jann.stiffel@aol.de,Duschgel,1.09,23.03.2021,4
Grete,Beier,grete.beier@googlemail.com,Seife,0.69,01.02.2021,10
Riza,Hettner,riza.hettner@gmx.de,Seife,0.69,23.02.2021,7
Grete,Beier,grete.beier@googlemail.com,Duschgel,1.09,19.04.2021,3
Sibylla,Vogt,sibylla.vogt@gmx.de,Desinfektionsmittel,5.24,08.04.2021,2
Arnold,Boucsein,arnold.boucsein@yahoo.de,Toilettenpapier,2.49,26.02.2021,6
Rouven,Caspar,rouven.caspar@aol.de,Duschgel,1.09,29.03.2021,5
Rouven,Caspar,rouven.caspar@aol.de,Rasierschaum,1.35,04.05.2021,8
Ilonka,Tintzmann,ilonka.tintzmann@web.de,Rasierschaum,1.35,24.04.2021,8
Arnold,Boucsein,arnold.boucsein@yahoo.de,Duschgel,1.09,23.04.2021,7
Ilonka,Tintzmann,ilonka.tintzmann@web.de,Rasierklingen,22.49,21.03.2021,1
Franz,Naser,franz.naser@gmx.de,Rasierschaum,1.35,15.02.2021,5
Karl-Werner,Zobel,karl-werner.zobel@yahoo.de,Desinfektionsmittel,5.24,26.04.2021,8
Rouven,Caspar,rouven.caspar@aol.de,Rasierschaum,1.35,07.05.2021,2
Henny,Holsten,henny.holsten@web.de,Desinfektionsmittel,5.24,02.05.2021,7
Henny,Holsten,henny.holsten@web.de,Toilettenpapier,2.49,02.04.2021,2
Gernot,Koch II,gernot.kochii@hotmail.de,Seife,0.69,30.04.2021,10
Franz,Naser,franz.naser@gmx.de,Desinfektionsmittel,5.24,02.03.2021,10
Grete,Beier,grete.beier@googlemail.com,Rasierschaum,1.35,01.03.2021,5
Gernot,Koch II,gernot.kochii@hotmail.de,Rasierschaum,1.35,07.04.2021,1
Rouven,Caspar,rouven.caspar@aol.de,Rasierschaum,1.35,07.04.2021,6
Volkhard,Aumann,volkhard.aumann@gmail.com,Toilettenpapier,2.49,24.02.2021,3
Karl-Werner,Seidel,karl-werner.seidel@yahoo.de,Duschgel,1.09,10.03.2021,1
Grete,Beier,grete.beier@googlemail.com,Rasierschaum,1.35,15.04.2021,6
Gernot,Koch II,gernot.kochii@hotmail.de,Toilettenpapier,2.49,13.04.2021,6
Jann,Stiffel,jann.stiffel@aol.de,Desinfektionsmittel,5.24,09.04.2021,8
Catrin,Faust,catrin.faust@yahoo.de,Rasierschaum,1.35,30.04.2021,6
Grete,Beier,grete.beier@googlemail.com,Seife,0.69,23.02.2021,7
